thread_id,message_count,unique_senders,first_message_time,last_message_time,thread_duration_minutes,avg_response_time,virality_direct,normalized_message_count,normalized_response_time,normalized_participants,virality_normalized,virality_direct_normalized,virality_combined,topic,category,subcategory,category_full
567,4,1,2024-11-19 15:48:22,2024-11-19 15:48:52,0.5,0.16666666666666666,24.0,0.11428571428571428,0.9943883277216611,0.058823529411764705,38.92,100.0,69.46,"""Discussing a photography studio""",Uncategorized,Other Topics,Uncategorized - Other Topics
717,2,1,2024-12-14 12:22:48,2024-12-14 12:22:53,0.08333333333333333,0.08333333333333333,24.0,0.05714285714285714,0.9971941638608305,0.058823529411764705,37.11,100.0,68.55,"""Woddle Smart Changing Pad""",Activities & Recreation,Arts & Music,Activities & Recreation - Arts & Music
671,35,8,2024-12-08 20:15:05,2024-12-08 21:11:50,56.75,1.6691176470588236,20.97,1.0,0.943800752624282,0.47058823529411764,80.48,87.37151248164464,83.93,"""Managing Child Eczema Advice""",Parenting Challenges & Support,Parenting Support & Advice,Parenting Challenges & Support - Parenting Support & Advice
681,3,1,2024-12-10 06:19:30,2024-12-10 06:19:48,0.3,0.15,20.0,0.08571428571428572,0.9949494949494949,0.058823529411764705,37.98,83.33333333333334,60.66,"""Kids Friendly Weekend Events""",Activities & Recreation,Social Events & Playdates,Activities & Recreation - Social Events & Playdates
23,5,3,2024-08-23 15:09:28,2024-08-23 15:10:41,1.2166666666666666,0.30416666666666664,16.44,0.14285714285714285,0.9897586980920314,0.17647058823529413,43.64,68.49315068493152,56.06,"""Removing Wrinkles from Dress""",Products & Shopping,Clothing & Accessories,Products & Shopping - Clothing & Accessories
654,19,9,2024-12-04 11:36:49,2024-12-04 11:58:58,22.15,1.2305555555555554,15.44,0.5428571428571428,0.9585671530115975,0.5294117647058824,67.69,64.33408577878104,66.01,"""Transitioning from Breastmilk to Formula""",Child Care & Education,Child Development & Milestones,Child Care & Education - Child Development & Milestones
90,26,9,2024-09-06 15:43:43,2024-09-06 16:29:01,45.3,1.8119999999999998,14.35,0.7428571428571429,0.938989898989899,0.5294117647058824,73.71,59.786607799852845,66.75,"""No gifts"" birthday party etiquette",Activities & Recreation,Arts & Music,Activities & Recreation - Arts & Music
41,3,1,2024-08-27 20:39:52,2024-08-27 20:40:18,0.43333333333333335,0.21666666666666667,13.85,0.08571428571428572,0.9927048260381593,0.058823529411764705,37.91,57.692307692307686,47.8,"""Finding a new home for pets""",Uncategorized,Other Topics,Uncategorized - Other Topics
394,3,1,2024-10-25 07:50:54,2024-10-25 07:51:22,0.4666666666666667,0.23333333333333334,12.86,0.08571428571428572,0.9921436588103255,0.058823529411764705,37.89,53.57142857142857,45.73,"""Traffic and Ferry Transportation Discussion""",Activities & Recreation,Sports & Physical Activities,Activities & Recreation - Sports & Physical Activities
1009,2,1,2025-02-06 16:19:33,2025-02-06 16:19:43,0.16666666666666666,0.16666666666666666,12.0,0.05714285714285714,0.9943883277216611,0.058823529411764705,37.01,50.0,43.51,"""February break activities recommendations""",Parenting Challenges & Support,Parenting Support & Advice,Parenting Challenges & Support - Parenting Support & Advice
